72,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,10.285000,7.000000
73,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.255000,13.980000
74,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.500000,14.720000
75,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.250000,21.049999
76,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.570000,24.750000
77,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.503615,25.709999
78,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.144114,26.520000
79,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.366904,23.430000
80,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.875000,17.219999
81,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.662443,26.730000
82,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,15.356899,15.750000
83,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.399115,23.920000
84,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.852228,23.450001
85,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.400001,18.620001
86,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.645079,23.870001
87,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.720000,23.770000
88,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.050000,27.700001
89,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.659090,24.690001
90,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.777742,25.400000
91,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.658001,22.120001
92,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.052036,29.219999
93,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.114004,28.959999
94,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,12.969061,27.330000
95,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.215000,12.110000
96,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,15.598524,21.639999
97,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.800484,22.379999
98,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.821972,20.900000
99,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.185659,23.160000
100,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,13.864399,19.540001
101,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,14.907342,15.390000
102,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.019916,20099.582188,17.101852,11.799999,6.980000
103,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.996699,20099.582188,17.101852,12.565000,16.360001
104,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.910394,20099.582188,17.101852,13.155001,26.480000
105,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.806198,20099.582188,17.101852,12.530000,22.969999
106,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.674592,20099.582188,17.101852,12.460016,30.520000
107,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.538901,20099.582188,17.101852,13.890844,25.990000
108,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.429138,20099.582188,17.101852,13.219999,8.850000
109,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.328330,20099.582188,17.101852,12.375000,3.440000
110,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.276609,20099.582188,17.101852,11.755000,9.630000
111,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.174719,20099.582188,17.101852,13.820001,23.020000
112,471910.343750,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,3.174719,20099.582188,17.101852,11.455000,17.540001
